[INFO] [1784885292.074527405] [wrist_tracker]: RGB wrist tracker ready: rgb=/wrist/color/image_raw hint=/wrist/tracking_roi tracked=/target/tracked_2d
[WARN] [1784885310.539143205] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=22 confidence=0.314 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885310.606225258] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=23 confidence=0.319 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885310.639304988] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=24 confidence=0.322 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885310.702701818] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=25 confidence=0.307 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885310.736039377] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=26 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885311.234408756] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=34 confidence=0.434 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885312.701910276] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=59 confidence=0.218 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885312.769558073] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=60 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885317.635209538] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=143 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885317.700384621] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=144 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885317.770234624] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=145 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885317.800186015] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=146 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885317.868369865] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=147 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885318.035076979] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=150 confidence=0.441 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784885318.239871209] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=151 confidence=0.441 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
